Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
516.66264090        58.85096300          0.14315309              0
516.66594670        58.83023661          0.12275032              0
516.66925590        58.83661626          0.10455773              0
516.67274300        58.86192213          0.10072652              0
516.72185990        58.89425000          0.10437404              0
516.72516260        58.90582323          0.10390700              0
516.72847590        58.89750585          0.11075149              0
516.73178740        58.98519165          0.23346082              0
516.73510360        58.86361839          0.10019912              0
516.73841690        58.85288842          0.11394862              0
519.64320700        60.49685152          0.11803263              0
520.39110950        60.84865681          0.17490601              0
521.37951640        61.19517518          0.14503993              0
521.39544460        61.06392448          0.18123445              0
521.62727450        61.12183038          0.04997470              0
521.73906450        61.08142906          0.08024841              0
522.39511240        61.52975333          0.10770499              0
522.52311340        61.38669290          0.12639788              0
522.62351400        61.42234186          0.06592395              0
522.66761950        61.33922934          0.07947725              0
522.67092610        61.30390814          0.08104580              0
522.67425230        61.34477065          0.11000504              0
522.67757770        61.35170402          0.11704169              0
522.68090740        61.35295398          0.10782970              0
522.68421980        61.36455803          0.10995446              0
523.38054690        61.69125158          0.09395128              0
523.39718390        61.61511200          0.07846669              0
523.50060620        61.58935845          0.10731889              0
523.63102560        61.49766813          0.10022695              0
523.66526390        61.60027464          0.10902857              0
523.66863430        61.54135112          0.07979330              0
523.67195160        61.49315310          0.07415944              0
523.67527540        61.51928516          0.10400692              0
523.67867050        61.56685206          0.08459870              0
523.68208950        61.58324244          0.09206836              0
524.38163640        61.79050520          0.14493263              0
524.38494190        61.75843335          0.12346539              0
524.38824580        61.75346413          0.12131033              0
524.39156280        61.72406964          0.15184926              0
524.39486460        61.81074487          0.20230606              0
524.39817120        61.69240219          0.13932857              0
524.46892270        61.79190471          0.13140777              0
524.57215920        61.61956055          0.06279169              0
524.63402070        61.57048516          0.11297665              0
524.66821650        61.69927845          0.10483918              0
525.36057080        61.86810784          0.08943459              0
525.38326150        61.81384522          0.17503802              0
525.39627990        61.86206112          0.31401193              0
525.57855810        61.76643543          0.21265780              0
525.62771880        61.80645761          0.13725847              0
526.36170990        61.83239703          0.18129728              0
526.39086480        61.79289035          0.07549979              0
526.55878550        61.83293640          0.12710492              0
526.62765600        61.88873836          0.13102142              0
527.37221720        61.98026000          0.13243365              0
527.49707000        61.72721171          0.14869077              0
527.61869170        61.60198952          0.10932610              0
527.71166140        61.70252654          0.06193143              0
528.38696990        61.82051921          0.10076245              0
528.48969650        61.59378888          0.12755063              0
528.60734180        61.62927832          0.10097224              0
528.64534010        61.47583673          0.13322832              0
529.37542570        61.64415779          0.21781553              0
529.49678170        61.53868675          0.09740847              0
529.59408840        61.44815803          0.11902506              0
530.49595430        61.44291700          0.12499883              0
530.59468170        61.46407110          0.18377109              0
530.63330700        61.37807268          0.17059092              0
531.59487250        61.28010667          0.08901279              0
531.63427000        61.27475235          0.08778640              0
532.37102390        61.28108929          0.08062997              0
532.48158070        61.10460432          0.09104011              0
